time,X,Y,Z,rollDeg,pitchDeg,yawDeg,alphaDeg,betaDeg
16.9672,1555.99,-351.012,-9825.46,-32.5153,-15.694,-53.5035,6.00243,-1.00057
17.1338,1563.15,-361.455,-9822.16,-34.0986,-0.985466,-62.3393,7.85847,-1.92871
17.3005,1568.52,-372.909,-9822.05,-38.4934,15.4668,-73.0218,9.21841,-2.9371
17.4672,1571.32,-384.242,-9825.15,-47.6101,31.5,-87.3605,10.1223,-3.84763
17.6339,1571.18,-394.176,-9830.75,-65.4305,44.4505,-109.064,10.8901,-4.68482
17.8005,1568.15,-401.698,-9837.7,-93.4058,49.5724,-140.508,11.5741,-5.41826
17.9672,1562.74,-406.263,-9844.66,-118.895,44.0132,-171.326,12.0826,-5.55471
18.1339,1555.82,-407.841,-9850.57,-133.821,31.3802,166.674,12.6687,-5.25824
18.3005,1548.34,-406.762,-9854.71,-140.562,15.7276,151.002,13.2717,-4.78048
18.4672,1541.17,-403.581,-9856.72,-142.199,-0.840289,137.974,13.8436,-4.31611
18.6339,1535.02,-398.961,-9856.55,-139.892,-17.1703,125.007,14.3587,-3.97599
18.8006,1530.44,-393.602,-9854.38,-134.319,-32.2572,109.851,14.7236,-4.0346
18.9672,1527.72,-388.209,-9850.56,-127.607,-45.1954,90.5212,14.5615,-5.30275
19.1339,1526.87,-383.488,-9845.49,-117.259,-54.9761,65.1377,13.6577,-7.29756
19.3006,1527.59,-380.012,-9839.63,-100.788,-59.8475,34.9701,11.9291,-8.66953
19.4672,1529.4,-378.045,-9833.4,-82.9653,-59.703,5.39163,10.4021,-9.05477
19.6339,1531.85,-377.588,-9827.13,-68.7847,-56.2445,-18.6654,9.38122,-8.6231
19.8006,1534.56,-378.54,-9821.05,-58.4407,-51.4427,-36.3163,8.55006,-7.47142
19.9672,1537.28,-380.736,-9815.28,-50.4817,-46.2891,-49.6525,7.99678,-5.90231
20.1339,1539.82,-384.007,-9809.92,-42.7473,-40.3568,-61.0671,8.43759,-4.12736
20.3006,1542.03,-388.262,-9805.08,-33.3993,-32.1721,-71.7002,10.0409,-2.109
20.4672,1543.77,-393.452,-9801.03,-23.0744,-21.3896,-80.5592,11.7044,0.219999
20.6339,1544.99,-399.406,-9798.08,-11.6451,-9.07677,-86.6245,12.4973,2.9738
20.8006,1545.8,-405.775,-9796.45,1.04868,2.87751,-89.505,11.9278,5.88393
20.9672,1546.47,-412.167,-9796.08,15.0387,13.608,-89.3654,10.6756,8.46553
21.1339,1547.22,-418.301,-9796.7,30.4909,22.475,-86.322,9.22891,10.4512
21.3006,1548.23,-424.03,-9797.99,47.4479,28.8036,-80.6821,7.71234,11.7377
21.4675,1549.57,-429.324,-9799.66,65.3997,32.0363,-73.4444,6.04531,12.2916
21.6341,1551.21,-434.203,-9801.46,82.7216,31.9588,-67.1462,3.85685,12.0061
21.8008,1553.07,-438.77,-9803.19,98.3897,29.6211,-63.6515,1.3799,10.7784
21.9675,1555.02,-443.135,-9804.79,112.594,26.4239,-63.3397,-1.20694,8.59911
22.1342,1556.92,-447.386,-9806.26,126.289,23.2662,-65.2717,-3.00572,5.60055
22.3009,1558.72,-451.572,-9807.6,140.296,20.4257,-68.3119,-4.11466,2.10464
22.4676,1560.4,-455.72,-9808.82,154.94,17.846,-71.7793,-4.23347,-1.56727
22.6342,1561.96,-459.838,-9809.91,170.191,15.4919,-75.3886,-2.95979,-4.94989
22.8012,1563.4,-463.923,-9810.87,-173.882,13.3696,-79.0376,-0.907489,-7.6631
22.9679,1564.68,-467.967,-9811.61,-157.341,11.4699,-82.6711,0.992176,-9.65869
23.1346,1565.78,-471.983,-9812.09,-140.703,9.56813,-86.4327,2.93942,-10.9649
23.3015,1566.61,-475.974,-9812.26,-125.284,7.41494,-90.7115,4.72477,-11.6064
23.4682,1567.09,-479.917,-9812.14,-111.286,5.14465,-95.7702,6.30356,-11.6195
23.6351,1567.13,-483.775,-9811.78,-99.3343,3.01626,-101.624,7.52681,-11.1468
23.8021,1566.71,-487.521,-9811.24,-88.6915,1.19121,-108.4,8.84145,-10.2013
23.9689,1565.8,-491.088,-9810.58,-76.6261,-0.0322858,-115.57,9.92216,-8.43254
24.1356,1564.43,-494.445,-9809.91,-62.9122,-0.459879,-122.535,10.5689,-5.82588
24.3032,1562.64,-497.588,-9809.28,-48.0054,-0.187009,-128.858,10.5958,-2.54354
24.4699,1560.55,-500.505,-9808.77,-32.5705,0.686115,-134.427,10.1319,1.1906
24.6365,1558.24,-503.248,-9808.38,-17.3019,2.23608,-139.341,9.49042,5.18757
24.8033,1555.82,-505.857,-9808.12,-3.78508,4.67762,-143.614,8.93722,9.17436
24.97,1553.35,-508.353,-9807.94,7.73451,7.80754,-147.055,8.50709,13.0536
25.1367,1550.88,-510.757,-9807.83,17.4111,11.3638,-149.555,8.25741,16.803
25.3033,1548.47,-513.078,-9807.75,25.4516,15.0764,-151.084,8.2527,20.4961
25.4702,1546.16,-515.321,-9807.68,32.0912,18.7077,-151.681,8.55092,24.1867
25.6369,1543.97,-517.488,-9807.58,37.5318,22.0626,-151.428,9.20715,27.9078
25.8036,1541.92,-519.588,-9807.42,42.1383,25.1954,-150.27,10.5129,31.7165
25.9706,1540.03,-521.637,-9807.18,46.0504,28.0057,-148.291,12.2021,35.6691
